Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,TCS.NS
04-02-2021,747.8424683,607.68396,1126.237671,1451.692139,872.5378418,2853.846924
05-02-2021,756.6038208,593.998291,1119.855591,1439.071289,872.2883911,2826.547119
08-02-2021,760.2268677,608.9412231,1147.541626,1472.568726,884.8484497,2876.804932
09-02-2021,763.3526001,612.5682983,1149.302124,1486.470703,886.9796143,2843.508301
10-02-2021,749.0975342,611.4076538,1141.335083,1473.565308,895.2093506,2876.089111
11-02-2021,744.645752,609.9569092,1137.946167,1452.356567,932.1186523,2869.554688
12-02-2021,749.1923218,626.350769,1153.043701,1443.673584,925.7253418,2855.950195
15-02-2021,765.6020508,651.8360596,1152.911499,1459.141357,921.6442871,2810.346924
16-02-2021,770.3615723,636.7479858,1135.965332,1470.338867,933.8416748,2782.55542
17-02-2021,751.3471069,635.7807007,1127.95459,1469.294922,944.6105957,2750.601563
18-02-2021,736.0975342,623.4974976,1137.769653,1446.75769,937.5598755,2736.504639
19-02-2021,728.8990479,603.5733643,1136.757568,1431.764282,943.2730103,2749.482666
22-02-2021,733.1140137,589.8392944,1113.78125,1378.054199,910.5352783,2647.983398
23-02-2021,724.1868286,596.0777588,1114.793579,1410.41333,917.4954834,2667.450684
24-02-2021,760.795105,620.0639038,1121.79248,1448.655518,934.5219116,2638.719238
25-02-2021,760.7715454,607.3937988,1122.012085,1429.534424,972.3152466,2680.966064
26-02-2021,726.6730957,578.1364136,1103.305542,1368.849487,945.7669678,2590.56543
01-03-2021,738.276062,588.3885498,1115.365967,1397.64978,952.9765015,2617.327393
02-03-2021,742.6803589,590.4680176,1148.37793,1409.796387,954.9261475,2690.856689
03-03-2021,751.5128174,611.3591919,1182.754272,1420.472046,998.5009766,2738.070801
04-03-2021,735.0319824,600.3817139,1171.134155,1387.923218,986.5983276,2729.657227
05-03-2021,724.5894165,589.4525146,1159.117798,1388.824707,987.890625,2692.378418
08-03-2021,719.6166382,588.0984497,1175.887817,1437.837524,993.5131836,2691.394043
09-03-2021,739.980896,604.5889893,1184.515015,1431.290039,993.4906006,2730.776123
10-03-2021,736.7842407,605.0725098,1204.410156,1446.378052,989.3643188,2748.67749
12-03-2021,734.9844971,592.7409058,1210.308228,1436.698853,969.2546997,2737.04126
15-03-2021,723.9500732,583.6976318,1209.207764,1407.993408,956.2411499,2744.380859
16-03-2021,716.1358643,575.4282227,1218.363281,1387.164063,952.4777832,2783.67334
17-03-2021,708.1795044,570.1571045,1221.00415,1364.247192,931.9599609,2786.269775
18-03-2021,706.1193848,559.6146851,1177.076294,1355.184692,910.9887695,2717.843506
19-03-2021,709.1977539,567.4006348,1183.546631,1339.195068,944.0438843,2730.104248
